"Step","FMNIST_No-rotation_Ponder - val/steps","FMNIST_No-rotation_Ponder - val/steps__MIN","FMNIST_No-rotation_Ponder - val/steps__MAX"
"4","7.769277095794678","7.769277095794678","7.769277095794678"
"9","9.537148475646973","9.537148475646973","9.537148475646973"
"14","6.475301265716553","6.475301265716553","6.475301265716553"
"20","7.168272972106934","7.168272972106934","7.168272972106934"
"25","7.012449741363525","7.012449741363525","7.012449741363525"
"30","7.418875694274902","7.418875694274902","7.418875694274902"
"36","6.616265296936035","6.616265296936035","6.616265296936035"
"41","9.547991752624512","9.547991752624512","9.547991752624512"
"46","4.762650489807129","4.762650489807129","4.762650489807129"
"52","8.519477844238281","8.519477844238281","8.519477844238281"
"57","4.397992134094238","4.397992134094238","4.397992134094238"
"62","6.839959621429443","6.839959621429443","6.839959621429443"
"67","5.85622501373291","5.85622501373291","5.85622501373291"
"73","5.130120277404785","5.130120277404785","5.130120277404785"
"78","5.713453769683838","5.713453769683838","5.713453769683838"
"83","6.879919528961182","6.879919528961182","6.879919528961182"
"89","6.629317283630371","6.629317283630371","6.629317283630371"
"94","7.176506042480469","7.176506042480469","7.176506042480469"
"99","5.3373494148254395","5.3373494148254395","5.3373494148254395"
"105","5.41626501083374","5.41626501083374","5.41626501083374"
"110","5.64377498626709","5.64377498626709","5.64377498626709"
"115","4.942168712615967","4.942168712615967","4.942168712615967"
"120","6.8817267417907715","6.8817267417907715","6.8817267417907715"
"126","5.69598388671875","5.69598388671875","5.69598388671875"
"131","6.41445779800415","6.41445779800415","6.41445779800415"
"136","7.287751197814941","7.287751197814941","7.287751197814941"
"142","7.275100231170654","7.275100231170654","7.275100231170654"
"147","6.096586227416992","6.096586227416992","6.096586227416992"
"152","7.735341548919678","7.735341548919678","7.735341548919678"
"158","6.46425724029541","6.46425724029541","6.46425724029541"
"163","5.94236946105957","5.94236946105957","5.94236946105957"
"168","5.439558029174805","5.439558029174805","5.439558029174805"
"173","8.790762901306152","8.790762901306152","8.790762901306152"
"179","6.30220890045166","6.30220890045166","6.30220890045166"
"184","7.704417705535889","7.704417705535889","7.704417705535889"
"189","6.790963649749756","6.790963649749756","6.790963649749756"
"195","7.310642719268799","7.310642719268799","7.310642719268799"
"200","8.191967964172363","8.191967964172363","8.191967964172363"
"205","5.787349224090576","5.787349224090576","5.787349224090576"
"211","6.0102410316467285","6.0102410316467285","6.0102410316467285"
"216","5.935140609741211","5.935140609741211","5.935140609741211"
"221","6.977108478546143","6.977108478546143","6.977108478546143"
"226","9.986546516418457","9.986546516418457","9.986546516418457"
"232","7.198795318603516","7.198795318603516","7.198795318603516"
"237","6.39377498626709","6.39377498626709","6.39377498626709"
"242","6.322891712188721","6.322891712188721","6.322891712188721"
"248","7.591968059539795","7.591968059539795","7.591968059539795"
"253","8.443775177001953","8.443775177001953","8.443775177001953"
"258","9.516264915466309","9.516264915466309","9.516264915466309"
"264","7.885140419006348","7.885140419006348","7.885140419006348"
"269","8.303413391113281","8.303413391113281","8.303413391113281"
"274","7.322690963745117","7.322690963745117","7.322690963745117"
"279","6.457429885864258","6.457429885864258","6.457429885864258"
"285","9.173494338989258","9.173494338989258","9.173494338989258"
"290","9.037751197814941","9.037751197814941","9.037751197814941"
"295","7.49216890335083","7.49216890335083","7.49216890335083"
"301","6.5232930183410645","6.5232930183410645","6.5232930183410645"
"306","9.25180721282959","9.25180721282959","9.25180721282959"
"311","9.143976211547852","9.143976211547852","9.143976211547852"
"317","6.860642433166504","6.860642433166504","6.860642433166504"
"322","7.4309234619140625","7.4309234619140625","7.4309234619140625"
"327","7.429116249084473","7.429116249084473","7.429116249084473"
"332","8.647790908813477","8.647790908813477","8.647790908813477"
"338","9.20622444152832","9.20622444152832","9.20622444152832"
"343","7.941967964172363","7.941967964172363","7.941967964172363"
"348","9.608634948730469","9.608634948730469","9.608634948730469"
"354","7.571485996246338","7.571485996246338","7.571485996246338"
"359","6.874297142028809","6.874297142028809","6.874297142028809"
"364","6.756425857543945","6.756425857543945","6.756425857543945"
"370","9.600000381469727","9.600000381469727","9.600000381469727"
"375","7.475301265716553","7.475301265716553","7.475301265716553"
"380","8.475903511047363","8.475903511047363","8.475903511047363"
"385","8.569879531860352","8.569879531860352","8.569879531860352"
"391","8.438353538513184","8.438353538513184","8.438353538513184"
"396","9.765060424804688","9.765060424804688","9.765060424804688"
"401","8.7949800491333","8.7949800491333","8.7949800491333"
"407","7.8042168617248535","7.8042168617248535","7.8042168617248535"
"412","8.367469787597656","8.367469787597656","8.367469787597656"
"417","7.484738826751709","7.484738826751709","7.484738826751709"
"423","10.75843334197998","10.75843334197998","10.75843334197998"
"428","9.520682334899902","9.520682334899902","9.520682334899902"
"433","9.118474006652832","9.118474006652832","9.118474006652832"
"438","8.058634757995605","8.058634757995605","8.058634757995605"
"444","8.921687126159668","8.921687126159668","8.921687126159668"
"449","8.7389554977417","8.7389554977417","8.7389554977417"
"454","8.621285438537598","8.621285438537598","8.621285438537598"
"460","8.540361404418945","8.540361404418945","8.540361404418945"
"465","8.262650489807129","8.262650489807129","8.262650489807129"
"470","9.242569923400879","9.242569923400879","9.242569923400879"
"476","11.451205253601074","11.451205253601074","11.451205253601074"
"481","9.590561866760254","9.590561866760254","9.590561866760254"
"486","9.829317092895508","9.829317092895508","9.829317092895508"
"491","8.451606750488281","8.451606750488281","8.451606750488281"
"497","12.162449836730957","12.162449836730957","12.162449836730957"
"502","8.905823707580566","8.905823707580566","8.905823707580566"
"507","7.9797186851501465","7.9797186851501465","7.9797186851501465"
"513","9.705221176147461","9.705221176147461","9.705221176147461"
"518","9.997188568115234","9.997188568115234","9.997188568115234"
"523","10.26204776763916","10.26204776763916","10.26204776763916"
"529","10.520682334899902","10.520682334899902","10.520682334899902"
"534","10.922891616821289","10.922891616821289","10.922891616821289"
"539","10.775702476501465","10.775702476501465","10.775702476501465"
"544","10.639357566833496","10.639357566833496","10.639357566833496"
"550","11.279718399047852","11.279718399047852","11.279718399047852"
"555","11.377911567687988","11.377911567687988","11.377911567687988"
"560","10.989156723022461","10.989156723022461","10.989156723022461"
"566","11.507630348205566","11.507630348205566","11.507630348205566"
"571","11.835140228271484","11.835140228271484","11.835140228271484"
"576","12.312650680541992","12.312650680541992","12.312650680541992"
"582","11.59518051147461","11.59518051147461","11.59518051147461"
"587","10.426907539367676","10.426907539367676","10.426907539367676"
"592","11.397189140319824","11.397189140319824","11.397189140319824"
"597","11.557229042053223","11.557229042053223","11.557229042053223"
"603","11.265060424804688","11.265060424804688","11.265060424804688"
"608","11.345783233642578","11.345783233642578","11.345783233642578"
"613","11.459237098693848","11.459237098693848","11.459237098693848"
"619","11.535542488098145","11.535542488098145","11.535542488098145"
"624","11.977710723876953","11.977710723876953","11.977710723876953"
"629","11.808032035827637","11.808032035827637","11.808032035827637"
"635","12.011445999145508","12.011445999145508","12.011445999145508"
"640","12.447590827941895","12.447590827941895","12.447590827941895"
"645","11.887750625610352","11.887750625610352","11.887750625610352"
"650","11.759839057922363","11.759839057922363","11.759839057922363"
"656","11.249798774719238","11.249798774719238","11.249798774719238"
"661","11.529919624328613","11.529919624328613","11.529919624328613"
"666","12.39558219909668","12.39558219909668","12.39558219909668"
"672","12.797590255737305","12.797590255737305","12.797590255737305"
"677","12.49457836151123","12.49457836151123","12.49457836151123"
"682","12.24337387084961","12.24337387084961","12.24337387084961"
"688","12.553614616394043","12.553614616394043","12.553614616394043"
"693","12.539558410644531","12.539558410644531","12.539558410644531"
"698","11.999397277832031","11.999397277832031","11.999397277832031"
"703","12.14016056060791","12.14016056060791","12.14016056060791"
"709","12.2548189163208","12.2548189163208","12.2548189163208"
"714","12.308032035827637","12.308032035827637","12.308032035827637"
"719","11.732329368591309","11.732329368591309","11.732329368591309"
"725","12.536948204040527","12.536948204040527","12.536948204040527"
"730","11.989558219909668","11.989558219909668","11.989558219909668"
"735","12.68574333190918","12.68574333190918","12.68574333190918"
"741","12.147790908813477","12.147790908813477","12.147790908813477"
"746","12.680120468139648","12.680120468139648","12.680120468139648"
"751","12.833734512329102","12.833734512329102","12.833734512329102"
"756","12.466867446899414","12.466867446899414","12.466867446899414"
"762","12.286345481872559","12.286345481872559","12.286345481872559"
"767","12.253815650939941","12.253815650939941","12.253815650939941"
"772","12.347790718078613","12.347790718078613","12.347790718078613"
"778","12.34337329864502","12.34337329864502","12.34337329864502"
"783","12.474899291992188","12.474899291992188","12.474899291992188"
"788","12.421687126159668","12.421687126159668","12.421687126159668"
"794","12.301606178283691","12.301606178283691","12.301606178283691"
"799","12.448393821716309","12.448393821716309","12.448393821716309"
"804","12.517067909240723","12.517067909240723","12.517067909240723"
"809","12.28574275970459","12.28574275970459","12.28574275970459"
"815","12.471887588500977","12.471887588500977","12.471887588500977"
"820","12.598594665527344","12.598594665527344","12.598594665527344"
"825","12.548995971679688","12.548995971679688","12.548995971679688"
"831","12.37449836730957","12.37449836730957","12.37449836730957"
"836","12.385943412780762","12.385943412780762","12.385943412780762"
"841","12.307027816772461","12.307027816772461","12.307027816772461"
"847","12.701606750488281","12.701606750488281","12.701606750488281"
