"Step","extrapolation - train/regularization_loss","extrapolation - train/regularization_loss__MIN","extrapolation - train/regularization_loss__MAX"
"0","1.23847496509552","1.23847496509552","1.23847496509552"
"1","0.3855477273464203","0.3855477273464203","0.3855477273464203"
"2","0.15200616419315338","0.15200616419315338","0.15200616419315338"
"3","0.19453978538513184","0.19453978538513184","0.19453978538513184"
"4","0.13027170300483704","0.13027170300483704","0.13027170300483704"
"5","0.37210607528686523","0.37210607528686523","0.37210607528686523"
"6","0.43698540329933167","0.43698540329933167","0.43698540329933167"
"7","0.1135406568646431","0.1135406568646431","0.1135406568646431"
"9","0.17222130298614502","0.17222130298614502","0.17222130298614502"
"10","0.4177621304988861","0.4177621304988861","0.4177621304988861"
"11","0.283324658870697","0.283324658870697","0.283324658870697"
"12","0.5124204754829407","0.5124204754829407","0.5124204754829407"
"13","0.39674556255340576","0.39674556255340576","0.39674556255340576"
"14","0.26355692744255066","0.26355692744255066","0.26355692744255066"
"15","0.368347704410553","0.368347704410553","0.368347704410553"
"16","0.23686467111110687","0.23686467111110687","0.23686467111110687"
"17","0.3627018928527832","0.3627018928527832","0.3627018928527832"
"19","0.23255473375320435","0.23255473375320435","0.23255473375320435"
"20","0.30029237270355225","0.30029237270355225","0.30029237270355225"
"21","0.4107096195220947","0.4107096195220947","0.4107096195220947"
"22","0.23405802249908447","0.23405802249908447","0.23405802249908447"
"23","0.35942021012306213","0.35942021012306213","0.35942021012306213"
"24","0.3116270899772644","0.3116270899772644","0.3116270899772644"
"25","0.2488892376422882","0.2488892376422882","0.2488892376422882"
"26","0.31446942687034607","0.31446942687034607","0.31446942687034607"
"28","0.14206036925315857","0.14206036925315857","0.14206036925315857"
"29","0.27862033247947693","0.27862033247947693","0.27862033247947693"
"30","0.14103896915912628","0.14103896915912628","0.14103896915912628"
"31","0.29899901151657104","0.29899901151657104","0.29899901151657104"
"32","0.2444976270198822","0.2444976270198822","0.2444976270198822"
"33","0.26138773560523987","0.26138773560523987","0.26138773560523987"
"34","0.23510223627090454","0.23510223627090454","0.23510223627090454"
"35","0.2668079435825348","0.2668079435825348","0.2668079435825348"
"36","0.1818467080593109","0.1818467080593109","0.1818467080593109"
"38","0.39477503299713135","0.39477503299713135","0.39477503299713135"
"39","0.6368764042854309","0.6368764042854309","0.6368764042854309"
"40","0.44627827405929565","0.44627827405929565","0.44627827405929565"
"41","0.17095081508159637","0.17095081508159637","0.17095081508159637"
"42","0.15134426951408386","0.15134426951408386","0.15134426951408386"
"43","0.2673209309577942","0.2673209309577942","0.2673209309577942"
"44","0.19909125566482544","0.19909125566482544","0.19909125566482544"
"45","0.27643105387687683","0.27643105387687683","0.27643105387687683"
"46","0.17920967936515808","0.17920967936515808","0.17920967936515808"
"48","0.2795269787311554","0.2795269787311554","0.2795269787311554"
"49","0.2772391736507416","0.2772391736507416","0.2772391736507416"
"50","0.3612317144870758","0.3612317144870758","0.3612317144870758"
"51","0.29490095376968384","0.29490095376968384","0.29490095376968384"
"52","0.21103256940841675","0.21103256940841675","0.21103256940841675"
"53","0.27161839604377747","0.27161839604377747","0.27161839604377747"
"54","0.2808499336242676","0.2808499336242676","0.2808499336242676"
"55","0.254455029964447","0.254455029964447","0.254455029964447"
"57","0.329647034406662","0.329647034406662","0.329647034406662"
"58","0.202768936753273","0.202768936753273","0.202768936753273"
"59","0.2966097593307495","0.2966097593307495","0.2966097593307495"
"60","0.2176499366760254","0.2176499366760254","0.2176499366760254"
"61","0.40138354897499084","0.40138354897499084","0.40138354897499084"
"62","0.38729187846183777","0.38729187846183777","0.38729187846183777"
"63","0.2999511659145355","0.2999511659145355","0.2999511659145355"
"64","0.2254238873720169","0.2254238873720169","0.2254238873720169"
"65","0.32891520857810974","0.32891520857810974","0.32891520857810974"
"67","0.1927127242088318","0.1927127242088318","0.1927127242088318"
"68","0.40810468792915344","0.40810468792915344","0.40810468792915344"
"69","0.2446001023054123","0.2446001023054123","0.2446001023054123"
"70","0.25668758153915405","0.25668758153915405","0.25668758153915405"
"71","0.1928083896636963","0.1928083896636963","0.1928083896636963"
"72","0.24687550961971283","0.24687550961971283","0.24687550961971283"
"73","0.4523639976978302","0.4523639976978302","0.4523639976978302"
"74","0.4753320515155792","0.4753320515155792","0.4753320515155792"
"76","0.3364422917366028","0.3364422917366028","0.3364422917366028"
"77","0.2662109136581421","0.2662109136581421","0.2662109136581421"
"78","0.2694450914859772","0.2694450914859772","0.2694450914859772"
"79","0.3212548792362213","0.3212548792362213","0.3212548792362213"
"80","0.29382482171058655","0.29382482171058655","0.29382482171058655"
"81","0.43377912044525146","0.43377912044525146","0.43377912044525146"
"82","0.3902324438095093","0.3902324438095093","0.3902324438095093"
"83","0.3241032063961029","0.3241032063961029","0.3241032063961029"
"84","0.19929705560207367","0.19929705560207367","0.19929705560207367"
"86","0.3141263723373413","0.3141263723373413","0.3141263723373413"
"87","0.3176235556602478","0.3176235556602478","0.3176235556602478"
"88","0.4056265354156494","0.4056265354156494","0.4056265354156494"
"89","0.1594892293214798","0.1594892293214798","0.1594892293214798"
"90","0.20446035265922546","0.20446035265922546","0.20446035265922546"
"91","0.23998841643333435","0.23998841643333435","0.23998841643333435"
"92","0.2099277675151825","0.2099277675151825","0.2099277675151825"
"93","0.28124693036079407","0.28124693036079407","0.28124693036079407"
"94","0.2503134310245514","0.2503134310245514","0.2503134310245514"
"96","0.22389139235019684","0.22389139235019684","0.22389139235019684"
"97","0.32299312949180603","0.32299312949180603","0.32299312949180603"
"98","0.22065630555152893","0.22065630555152893","0.22065630555152893"
"99","0.1767703890800476","0.1767703890800476","0.1767703890800476"
"100","0.21424490213394165","0.21424490213394165","0.21424490213394165"
"101","0.2961699366569519","0.2961699366569519","0.2961699366569519"
"102","0.23803550004959106","0.23803550004959106","0.23803550004959106"
"103","0.3412022292613983","0.3412022292613983","0.3412022292613983"
"105","0.26109522581100464","0.26109522581100464","0.26109522581100464"
"106","0.16567781567573547","0.16567781567573547","0.16567781567573547"
"107","0.44156384468078613","0.44156384468078613","0.44156384468078613"
"108","0.2858940362930298","0.2858940362930298","0.2858940362930298"
"109","0.3796551823616028","0.3796551823616028","0.3796551823616028"
"110","0.44689539074897766","0.44689539074897766","0.44689539074897766"
"111","0.2392367124557495","0.2392367124557495","0.2392367124557495"
"112","0.3106492757797241","0.3106492757797241","0.3106492757797241"
"113","0.349413126707077","0.349413126707077","0.349413126707077"
"115","0.3924653232097626","0.3924653232097626","0.3924653232097626"
"116","0.37507396936416626","0.37507396936416626","0.37507396936416626"
"117","0.4612085521221161","0.4612085521221161","0.4612085521221161"
"118","0.25632229447364807","0.25632229447364807","0.25632229447364807"
"119","0.6116142272949219","0.6116142272949219","0.6116142272949219"
"120","0.4317140281200409","0.4317140281200409","0.4317140281200409"
"121","0.1906064748764038","0.1906064748764038","0.1906064748764038"
"122","0.8090431094169617","0.8090431094169617","0.8090431094169617"
"124","0.4290086328983307","0.4290086328983307","0.4290086328983307"
"125","0.2138271927833557","0.2138271927833557","0.2138271927833557"
"126","0.17938493192195892","0.17938493192195892","0.17938493192195892"
"127","0.37103042006492615","0.37103042006492615","0.37103042006492615"
"128","0.31974077224731445","0.31974077224731445","0.31974077224731445"
"129","0.38389572501182556","0.38389572501182556","0.38389572501182556"
"130","0.19415436685085297","0.19415436685085297","0.19415436685085297"
"131","0.2536993622779846","0.2536993622779846","0.2536993622779846"
"132","0.2755582332611084","0.2755582332611084","0.2755582332611084"
"134","0.2010708898305893","0.2010708898305893","0.2010708898305893"
"135","0.4553415775299072","0.4553415775299072","0.4553415775299072"
"136","0.24654848873615265","0.24654848873615265","0.24654848873615265"
"137","0.305634081363678","0.305634081363678","0.305634081363678"
"138","0.23325440287590027","0.23325440287590027","0.23325440287590027"
"139","0.20884768664836884","0.20884768664836884","0.20884768664836884"
"140","0.35372239351272583","0.35372239351272583","0.35372239351272583"
"141","0.24501773715019226","0.24501773715019226","0.24501773715019226"
"142","0.21969211101531982","0.21969211101531982","0.21969211101531982"
"144","0.21981826424598694","0.21981826424598694","0.21981826424598694"
"145","0.331193208694458","0.331193208694458","0.331193208694458"
"146","0.37869223952293396","0.37869223952293396","0.37869223952293396"
"147","0.30678683519363403","0.30678683519363403","0.30678683519363403"
"148","0.31189459562301636","0.31189459562301636","0.31189459562301636"
"149","0.4489670693874359","0.4489670693874359","0.4489670693874359"
