"Step","fmnist_rot - val/steps","fmnist_rot - val/steps__MIN","fmnist_rot - val/steps__MAX"
"4","10.10140609741211","10.10140609741211","10.10140609741211"
"9","7.076104640960693","7.076104640960693","7.076104640960693"
"14","8.177309036254883","8.177309036254883","8.177309036254883"
"20","7.5054216384887695","7.5054216384887695","7.5054216384887695"
"25","5.238353252410889","5.238353252410889","5.238353252410889"
"30","7.2010040283203125","7.2010040283203125","7.2010040283203125"
"36","7.5493974685668945","7.5493974685668945","7.5493974685668945"
"41","6.72811222076416","6.72811222076416","6.72811222076416"
"46","6.71787166595459","6.71787166595459","6.71787166595459"
"52","5.89558219909668","5.89558219909668","5.89558219909668"
"57","8.325502395629883","8.325502395629883","8.325502395629883"
"62","7.017469882965088","7.017469882965088","7.017469882965088"
"67","7.791365623474121","7.791365623474121","7.791365623474121"
"73","6.331526279449463","6.331526279449463","6.331526279449463"
"78","7.320682525634766","7.320682525634766","7.320682525634766"
"83","8.893373489379883","8.893373489379883","8.893373489379883"
"89","6.767269134521484","6.767269134521484","6.767269134521484"
"94","5.157228946685791","5.157228946685791","5.157228946685791"
"99","6.504015922546387","6.504015922546387","6.504015922546387"
"105","7.833132743835449","7.833132743835449","7.833132743835449"
"110","8.060441970825195","8.060441970825195","8.060441970825195"
"115","6.61164665222168","6.61164665222168","6.61164665222168"
"120","7.97811222076416","7.97811222076416","7.97811222076416"
"126","6.381124496459961","6.381124496459961","6.381124496459961"
"131","8.514859199523926","8.514859199523926","8.514859199523926"
"136","7.091766834259033","7.091766834259033","7.091766834259033"
"142","8.043373107910156","8.043373107910156","8.043373107910156"
"147","7.300803184509277","7.300803184509277","7.300803184509277"
"152","7.037349224090576","7.037349224090576","7.037349224090576"
"158","8.784136772155762","8.784136772155762","8.784136772155762"
"163","8.107028007507324","8.107028007507324","8.107028007507324"
"168","7.946988105773926","7.946988105773926","7.946988105773926"
"173","6.473694801330566","6.473694801330566","6.473694801330566"
"179","5.671285152435303","5.671285152435303","5.671285152435303"
"184","8.829919815063477","8.829919815063477","8.829919815063477"
"189","7.536947727203369","7.536947727203369","7.536947727203369"
"195","8.466064453125","8.466064453125","8.466064453125"
"200","6.327911853790283","6.327911853790283","6.327911853790283"
"205","8.271486282348633","8.271486282348633","8.271486282348633"
"211","6.862650394439697","6.862650394439697","6.862650394439697"
"216","6.915863513946533","6.915863513946533","6.915863513946533"
"221","5.792369365692139","5.792369365692139","5.792369365692139"
"226","8.918272972106934","8.918272972106934","8.918272972106934"
"232","8.407028198242188","8.407028198242188","8.407028198242188"
"237","6.892971992492676","6.892971992492676","6.892971992492676"
"242","7.2054219245910645","7.2054219245910645","7.2054219245910645"
"248","7.732530117034912","7.732530117034912","7.732530117034912"
"253","7.6413655281066895","7.6413655281066895","7.6413655281066895"
"258","8.729719161987305","8.729719161987305","8.729719161987305"
"264","7.580923557281494","7.580923557281494","7.580923557281494"
"269","8.107630729675293","8.107630729675293","8.107630729675293"
"274","8.199799537658691","8.199799537658691","8.199799537658691"
"279","6.449196815490723","6.449196815490723","6.449196815490723"
"285","9.351204872131348","9.351204872131348","9.351204872131348"
"290","7.310240745544434","7.310240745544434","7.310240745544434"
"295","9.179919242858887","9.179919242858887","9.179919242858887"
"301","7.562851428985596","7.562851428985596","7.562851428985596"
"306","10.260843276977539","10.260843276977539","10.260843276977539"
"311","8.736746788024902","8.736746788024902","8.736746788024902"
