"Step","mnist_rot - val/steps","mnist_rot - val/steps__MIN","mnist_rot - val/steps__MAX"
"4","15.021084785461426","15.021084785461426","15.021084785461426"
"9","11.337148666381836","11.337148666381836","11.337148666381836"
"14","14.002008438110352","14.002008438110352","14.002008438110352"
"20","14.141164779663086","14.141164779663086","14.141164779663086"
"25","7.878313064575195","7.878313064575195","7.878313064575195"
"30","6.151003837585449","6.151003837585449","6.151003837585449"
"36","5.7606425285339355","5.7606425285339355","5.7606425285339355"
"41","7.831727027893066","7.831727027893066","7.831727027893066"
"46","7.6526103019714355","7.6526103019714355","7.6526103019714355"
"52","4.584136486053467","4.584136486053467","4.584136486053467"
"57","7.353212833404541","7.353212833404541","7.353212833404541"
"62","7.728313446044922","7.728313446044922","7.728313446044922"
"67","5.521084308624268","5.521084308624268","5.521084308624268"
"73","7.227911472320557","7.227911472320557","7.227911472320557"
"78","5.067670822143555","5.067670822143555","5.067670822143555"
"83","5.107630729675293","5.107630729675293","5.107630729675293"
"89","5.744377613067627","5.744377613067627","5.744377613067627"
"94","6.843574523925781","6.843574523925781","6.843574523925781"
"99","5.638554096221924","5.638554096221924","5.638554096221924"
"105","6.920080184936523","6.920080184936523","6.920080184936523"
"110","5.080923557281494","5.080923557281494","5.080923557281494"
"115","4.7989959716796875","4.7989959716796875","4.7989959716796875"
"120","5.816265106201172","5.816265106201172","5.816265106201172"
"126","5.406023979187012","5.406023979187012","5.406023979187012"
"131","6.304417610168457","6.304417610168457","6.304417610168457"
"136","5.2815260887146","5.2815260887146","5.2815260887146"
"142","5.188955783843994","5.188955783843994","5.188955783843994"
"147","5.399196624755859","5.399196624755859","5.399196624755859"
"152","6.306626319885254","6.306626319885254","6.306626319885254"
"158","5.797188758850098","5.797188758850098","5.797188758850098"
"163","5.359437942504883","5.359437942504883","5.359437942504883"
"168","9.500201225280762","9.500201225280762","9.500201225280762"
"173","7.271686553955078","7.271686553955078","7.271686553955078"
"179","6.243172645568848","6.243172645568848","6.243172645568848"
"184","4.7475905418396","4.7475905418396","4.7475905418396"
"189","5.643975734710693","5.643975734710693","5.643975734710693"
"195","4.617469787597656","4.617469787597656","4.617469787597656"
"200","5.500802993774414","5.500802993774414","5.500802993774414"
"205","4.654417514801025","4.654417514801025","4.654417514801025"
"211","7.491164684295654","7.491164684295654","7.491164684295654"
"216","6.496787071228027","6.496787071228027","6.496787071228027"
"221","5.874096393585205","5.874096393585205","5.874096393585205"
"226","6.326706886291504","6.326706886291504","6.326706886291504"
"232","5.49819278717041","5.49819278717041","5.49819278717041"
"237","5.138754844665527","5.138754844665527","5.138754844665527"
"242","5.546988010406494","5.546988010406494","5.546988010406494"
"248","7.071485996246338","7.071485996246338","7.071485996246338"
"253","10.102209091186523","10.102209091186523","10.102209091186523"
"258","7.5586347579956055","7.5586347579956055","7.5586347579956055"
"264","8.016064643859863","8.016064643859863","8.016064643859863"
"269","7.496987819671631","7.496987819671631","7.496987819671631"
"274","6.579317092895508","6.579317092895508","6.579317092895508"
"279","5.568473815917969","5.568473815917969","5.568473815917969"
"285","5.24819278717041","5.24819278717041","5.24819278717041"
"290","7.43996000289917","7.43996000289917","7.43996000289917"
"295","7.096385478973389","7.096385478973389","7.096385478973389"
"301","7.932329177856445","7.932329177856445","7.932329177856445"
"306","8.595582008361816","8.595582008361816","8.595582008361816"
"311","6.570281028747559","6.570281028747559","6.570281028747559"
"317","5.306626319885254","5.306626319885254","5.306626319885254"
"322","6.00783109664917","6.00783109664917","6.00783109664917"
"327","6.6395583152771","6.6395583152771","6.6395583152771"
"332","6.161445617675781","6.161445617675781","6.161445617675781"
"338","5.875100612640381","5.875100612640381","5.875100612640381"
"343","8.006224632263184","8.006224632263184","8.006224632263184"
"348","6.861044406890869","6.861044406890869","6.861044406890869"
"354","5.78574275970459","5.78574275970459","5.78574275970459"
"359","7.683734893798828","7.683734893798828","7.683734893798828"
"364","7.36586332321167","7.36586332321167","7.36586332321167"
"370","5.629919528961182","5.629919528961182","5.629919528961182"
"375","6.8142571449279785","6.8142571449279785","6.8142571449279785"
"380","6.783935546875","6.783935546875","6.783935546875"
"385","6.902409553527832","6.902409553527832","6.902409553527832"
