"Step","MNIST_No-rotation_Ponder - val/steps","MNIST_No-rotation_Ponder - val/steps__MIN","MNIST_No-rotation_Ponder - val/steps__MAX"
"200","5.565260887145996","5.565260887145996","5.565260887145996"
"205","4.653213024139404","4.653213024139404","4.653213024139404"
"211","7.7785139083862305","7.7785139083862305","7.7785139083862305"
"216","6.22208833694458","6.22208833694458","6.22208833694458"
"221","5.489558219909668","5.489558219909668","5.489558219909668"
"226","6.454819202423096","6.454819202423096","6.454819202423096"
"232","5.673694610595703","5.673694610595703","5.673694610595703"
"237","4.993574142456055","4.993574142456055","4.993574142456055"
"242","5.673293113708496","5.673293113708496","5.673293113708496"
"248","6.150602340698242","6.150602340698242","6.150602340698242"
"253","5.4845380783081055","5.4845380783081055","5.4845380783081055"
"258","6.0202813148498535","6.0202813148498535","6.0202813148498535"
"264","6.546787261962891","6.546787261962891","6.546787261962891"
"269","5.872489929199219","5.872489929199219","5.872489929199219"
"274","4.872088432312012","4.872088432312012","4.872088432312012"
"279","6.092168807983398","6.092168807983398","6.092168807983398"
"285","5.379116535186768","5.379116535186768","5.379116535186768"
"290","7.335341453552246","7.335341453552246","7.335341453552246"
"295","4.522891521453857","4.522891521453857","4.522891521453857"
"301","5.3433732986450195","5.3433732986450195","5.3433732986450195"
"306","5.572088241577148","5.572088241577148","5.572088241577148"
"311","5.315863609313965","5.315863609313965","5.315863609313965"
"317","6.628313064575195","6.628313064575195","6.628313064575195"
"322","5.972289085388184","5.972289085388184","5.972289085388184"
"327","5.115060329437256","5.115060329437256","5.115060329437256"
"332","4.71967887878418","4.71967887878418","4.71967887878418"
"338","6.38232946395874","6.38232946395874","6.38232946395874"
"343","5.786546230316162","5.786546230316162","5.786546230316162"
"348","6.667871475219727","6.667871475219727","6.667871475219727"
"354","6.441967964172363","6.441967964172363","6.441967964172363"
"359","5.976907730102539","5.976907730102539","5.976907730102539"
"364","7.336947917938232","7.336947917938232","7.336947917938232"
"370","5.913654804229736","5.913654804229736","5.913654804229736"
"375","5.890562057495117","5.890562057495117","5.890562057495117"
"380","5.8586344718933105","5.8586344718933105","5.8586344718933105"
"385","5.431927680969238","5.431927680969238","5.431927680969238"
"391","5.281124591827393","5.281124591827393","5.281124591827393"
"396","4.8190765380859375","4.8190765380859375","4.8190765380859375"
"401","4.739959716796875","4.739959716796875","4.739959716796875"
"407","5.968072414398193","5.968072414398193","5.968072414398193"
"412","5.573092460632324","5.573092460632324","5.573092460632324"
"417","5.555221080780029","5.555221080780029","5.555221080780029"
"423","5.488955974578857","5.488955974578857","5.488955974578857"
"428","6.07831335067749","6.07831335067749","6.07831335067749"
"433","6.816465854644775","6.816465854644775","6.816465854644775"
"438","6.443373680114746","6.443373680114746","6.443373680114746"
"444","6.252208709716797","6.252208709716797","6.252208709716797"
"449","6.357028007507324","6.357028007507324","6.357028007507324"
"454","6.565060138702393","6.565060138702393","6.565060138702393"
"460","6.2524094581604","6.2524094581604","6.2524094581604"
"465","7.243774890899658","7.243774890899658","7.243774890899658"
"470","6.426706790924072","6.426706790924072","6.426706790924072"
"476","6.1317267417907715","6.1317267417907715","6.1317267417907715"
"481","7.0638556480407715","7.0638556480407715","7.0638556480407715"
"486","6.036546230316162","6.036546230316162","6.036546230316162"
"491","5.770482063293457","5.770482063293457","5.770482063293457"
"497","5.889959812164307","5.889959812164307","5.889959812164307"
