"Step","CIFAR10_No-rotation_Ponder - val/steps","CIFAR10_No-rotation_Ponder - val/steps__MIN","CIFAR10_No-rotation_Ponder - val/steps__MAX"
"3","8.450361251831055","8.450361251831055","8.450361251831055"
"8","8.444819450378418","8.444819450378418","8.444819450378418"
"12","12.206024169921875","12.206024169921875","12.206024169921875"
"17","10.27855396270752","10.27855396270752","10.27855396270752"
"21","10.378313064575195","10.378313064575195","10.378313064575195"
"26","9.106987953186035","9.106987953186035","9.106987953186035"
"31","11.406988143920898","11.406988143920898","11.406988143920898"
"35","7.773252964019775","7.773252964019775","7.773252964019775"
"40","11.104819297790527","11.104819297790527","11.104819297790527"
"44","10.089879989624023","10.089879989624023","10.089879989624023"
"49","9.607710838317871","9.607710838317871","9.607710838317871"
"54","9.074698448181152","9.074698448181152","9.074698448181152"
"58","12.542168617248535","12.542168617248535","12.542168617248535"
"63","12.345783233642578","12.345783233642578","12.345783233642578"
"67","10.706747055053711","10.706747055053711","10.706747055053711"
"72","11.866024017333984","11.866024017333984","11.866024017333984"
"76","12.617589950561523","12.617589950561523","12.617589950561523"
"81","12.78987979888916","12.78987979888916","12.78987979888916"
"86","10.567710876464844","10.567710876464844","10.567710876464844"
"90","11.777108192443848","11.777108192443848","11.777108192443848"
"95","15.03903579711914","15.03903579711914","15.03903579711914"
"99","11.449398040771484","11.449398040771484","11.449398040771484"
"104","11.805060386657715","11.805060386657715","11.805060386657715"
"109","13.690120697021484","13.690120697021484","13.690120697021484"
"113","13.184577941894531","13.184577941894531","13.184577941894531"
"118","13.18722915649414","13.18722915649414","13.18722915649414"
"122","12.876626968383789","12.876626968383789","12.876626968383789"
"127","14.561446189880371","14.561446189880371","14.561446189880371"
"131","14.115180969238281","14.115180969238281","14.115180969238281"
"136","14.531084060668945","14.531084060668945","14.531084060668945"
"141","15.389397621154785","15.389397621154785","15.389397621154785"
"145","13.890843391418457","13.890843391418457","13.890843391418457"
"150","15.08048152923584","15.08048152923584","15.08048152923584"
"154","15.126747131347656","15.126747131347656","15.126747131347656"
"159","14.867711067199707","14.867711067199707","14.867711067199707"
"164","16.29373550415039","16.29373550415039","16.29373550415039"
"168","14.595903396606445","14.595903396606445","14.595903396606445"
"173","14.652289390563965","14.652289390563965","14.652289390563965"
"177","14.955904006958008","14.955904006958008","14.955904006958008"
"182","15.393976211547852","15.393976211547852","15.393976211547852"
"186","15.38987922668457","15.38987922668457","15.38987922668457"
