"Step","CIFAR10_No-rotation_Ponder - val/steps","CIFAR10_No-rotation_Ponder - val/steps__MIN","CIFAR10_No-rotation_Ponder - val/steps__MAX"
"512","17.327951431274414","17.327951431274414","17.327951431274414"
"517","18.23445701599121","18.23445701599121","18.23445701599121"
"521","17.762409210205078","17.762409210205078","17.762409210205078"
"526","16.85494041442871","16.85494041442871","16.85494041442871"
"530","17.46963882446289","17.46963882446289","17.46963882446289"
"535","17.910120010375977","17.910120010375977","17.910120010375977"
"540","17.758554458618164","17.758554458618164","17.758554458618164"
"544","17.881444931030273","17.881444931030273","17.881444931030273"
"549","17.336868286132812","17.336868286132812","17.336868286132812"
"553","18.31903648376465","18.31903648376465","18.31903648376465"
"558","18.173974990844727","18.173974990844727","18.173974990844727"
"562","17.372289657592773","17.372289657592773","17.372289657592773"
"567","18.021686553955078","18.021686553955078","18.021686553955078"
"572","18.23614501953125","18.23614501953125","18.23614501953125"
"576","18.393253326416016","18.393253326416016","18.393253326416016"
"581","18.0366268157959","18.0366268157959","18.0366268157959"
"585","18.30144500732422","18.30144500732422","18.30144500732422"
"590","17.90216827392578","17.90216827392578","17.90216827392578"
"595","17.95421600341797","17.95421600341797","17.95421600341797"
"599","17.695903778076172","17.695903778076172","17.695903778076172"
"604","16.478313446044922","16.478313446044922","16.478313446044922"
"608","17.9166259765625","17.9166259765625","17.9166259765625"
"613","17.789398193359375","17.789398193359375","17.789398193359375"
"617","17.940481185913086","17.940481185913086","17.940481185913086"
"622","17.610361099243164","17.610361099243164","17.610361099243164"
"627","17.427228927612305","17.427228927612305","17.427228927612305"
"631","17.95421600341797","17.95421600341797","17.95421600341797"
"636","18.119277954101562","18.119277954101562","18.119277954101562"
"640","18.021446228027344","18.021446228027344","18.021446228027344"
"645","17.641687393188477","17.641687393188477","17.641687393188477"
"650","18.090120315551758","18.090120315551758","18.090120315551758"
"654","17.740962982177734","17.740962982177734","17.740962982177734"
"659","18.113975524902344","18.113975524902344","18.113975524902344"
"663","17.810361862182617","17.810361862182617","17.810361862182617"
"668","17.58072280883789","17.58072280883789","17.58072280883789"
"672","18.221445083618164","18.221445083618164","18.221445083618164"
"677","18.0366268157959","18.0366268157959","18.0366268157959"
"682","18.1944580078125","18.1944580078125","18.1944580078125"
"686","18.414216995239258","18.414216995239258","18.414216995239258"
"691","18.276626586914062","18.276626586914062","18.276626586914062"
"695","17.875661849975586","17.875661849975586","17.875661849975586"
"700","17.710844039916992","17.710844039916992","17.710844039916992"
"705","18.061687469482422","18.061687469482422","18.061687469482422"
"709","17.82505989074707","17.82505989074707","17.82505989074707"
"714","18.041927337646484","18.041927337646484","18.041927337646484"
"718","18.16048240661621","18.16048240661621","18.16048240661621"
"723","18.36626434326172","18.36626434326172","18.36626434326172"
"728","18.426265716552734","18.426265716552734","18.426265716552734"
"732","18.310361862182617","18.310361862182617","18.310361862182617"
